AIO10918.1-FLK14 + ADN88909.1-RAY26,0.75
AIO10918.1-FLK14 + ABN79624.1-KLY14,0.5195
AIO10918.1-FLK14 + ABN79624.1-CVL25,0.5195
CED79820.1-KLL26 + CED79820.1-KKW12,2
CED79820.1-KLL26 + CAA38232.1-RQK17,0.375
CED79820.1-KLL26 + CAA38232.1-IVG16,0.625
AQU14158.1-LHL12 + BAF96956.1-KTL10,0.75
ABV45725.1-IFL14 + ABG37012.1-RAC26,0.5625
ABV45725.1-IFL14 + BAF96956.1-KTL10,0.5
ABV45725.1-IFL14 + ACX48939.1-KKP30,0.375
CED79820.1-KKW12 + CAA38232.1-RQK17,0.75
CED79820.1-KKW12 + CAA38232.1-IVG16,2
ADN88909.1-RAY26 + ABN79624.1-CVL25,0.375
ABG37012.1-RAC26 + BAF96956.1-KTL10,2
ABG37012.1-RAC26 + ACX48939.1-KKP30,2
BAF96956.1-KTL10 + ACX48939.1-KKP30,0.5
AKN52354.1-LYC24 + AKN79944.1-RMA19,0.5
AKN52354.1-LYC24 + AKN79944.1-RNL29,0.375
CAA38232.1-RQK17 + CAA38232.1-IVG16,0.75
ARU77324.1-LIV13 + ANN03167.1-KWT13,0.75
AQU14158.1-IFL14 + AQU14158.1-LHL12,0.5625
AQU14158.1-IFL14 + BAF96956.1-KTL10,0.5
AKN79944.1-RMA19 + AKN79944.1-RNL29,1
SMQ11516.1-KRK18 + SMQ11516.1-RKR18,0.625
AFS17541.1-KVG15 + AFS17509.1-RKI16,0.5
ABN79624.1-KLY14 + ADN88909.1-RAY26,0.5625
ABN79624.1-KLY14 + ABN79624.1-CVL25,0.5
SMQ11516.1-KIY25 + SMQ11516.1-KRK18,0.5625
SMQ11516.1-KIY25 + SMQ11516.1-RKR18,0.5
