DBAASP_id,SMILES,Escherichia coli ATCC 25922,Pseudomonas aeruginosa ATCC 27853,Staphylococcus aureus ATCC 25923,Staphylococcus aureus,Staphylococcus aureus ATCC 29213,Escherichia coli,Pseudomonas aeruginosa,Pseudomonas aeruginosa PAO1,Enterococcus faecalis ATCC 29212,Acinetobacter baumannii ATCC 19606,Staphylococcus epidermidis ATCC 12228,Candida albicans ATCC 10231,Klebsiella pneumoniae ATCC 700603,Staphylococcus aureus ATCC 43300,Salmonella enterica subsp. enterica serovar Typhimurium ATCC 14028,Staphylococcus aureus ATCC 6538,Pseudomonas aeruginosa ATCC 9027,Candida albicans,Klebsiella pneumoniae,mean
37,CC[C@H](C)[C@@H](C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](CCSC)NC(=O)CN,12.5,65.066843387528,-1.0,-1.0,32.533421693764,-1.0,-1.0,130.133686775056,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.40792924967058
38,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(N)=O,6.25,6.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.25,-1.0,12.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.843
51,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(N)=O,100.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,6.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.49682735720318
52,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(N)=O)C(C)C,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.720055599509372
55,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(N)=O)C(C)C,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.223883382974504
57,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)C(C)C)[C@@H](C)O)CSSC[C@@H]2NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CNC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CSSC[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)[OH])NC(=O)[C@H](C(C)C)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC1=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N3)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CC(N)=O)NC2=O,-1.0,-1.0,-1.0,5.5112645928504485,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.7636046697121435,-1.0,-1.0,-1.0,-1.0,1.3778161482126121,44.09011674280359,-1.0,-1.0,10.21555037249364
72,NCCCC[C@@H](N)C(=O)NCC(=O)NCC(=O)NCC(=O)N[C@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NCC(=O)N[C@H](CCCCN)C(=O)NCC(=O)NCC(=O)N[C@H](CCCCN)C(N)=O,200.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,200.0,-1.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,200.0
73,CCCCCCCCCCCCCCCC(=O)N[C@H](CCCCN)C(=O)NCC(=O)NCC(=O)NCC(=O)N[C@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NCC(=O)N[C@H](CCCCN)C(=O)NCC(=O)NCC(=O)N[C@H](CCCCN)C(N)=O,25.0,6.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,-1.0,3.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.9995
74,C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(N)=O,200.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,200.0,-1.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,200.0
75,CC(C)[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)C(C)C)C(C)C)C(C)C)C(=O)N[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(N)=O)C(C)C)C(C)C)C(C)C,200.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,200.0,-1.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,171.0
77,CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(N)=O,15.0,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.6875
78,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(N)=O,200.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,200.0,-1.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,137.15277777777777
