DBAASP_id,strain_name,SMILES,MIC
ce_17,#004,"[1, 126, 3157, 163, 163, 163, 158, 145, 51, 15, 163, 77, 15, 163, 36, 163, 77, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 165, 77, 158, 15, 114, 163, 163, 163, 70, 70, 163, 70, 106, 77, 51, 70, 163, 126, 163, 51, 70, 145, 2]",1
ce_18,#004,"[1, 163, 163, 108, 163, 77, 163, 40, 15, 158, 15, 50, 163, 114, 163, 171, 163, 158, 163, 163, 158, 15, 163, 163, 163, 163, 70, 25, 163, 77, 163, 77, 163, 77, 70, 114, 158, 163, 51, 70, 15, 171, 1736, 2]",1
ce_19,#004,"[1, 165, 77, 15, 163, 113, 163, 77, 145, 70, 70, 163, 108, 163, 106, 158, 106, 158, 70, 15, 163, 108, 114, 163, 171, 114, 163, 171, 113, 163, 108, 163, 163, 145, 70, 163, 158, 163, 114, 163, 171, 163, 15, 163, 165, 163, 77, 163, 77, 163, 77, 70, 114, 163, 114, 163, 171, 158, 51, 70, 108, 70, 108, 2640, 2640, 2]",1
ce_20,#004,"[1, 163, 165, 163, 77, 163, 15, 77, 163, 163, 77, 158, 77, 15, 163, 158, 158, 77, 70, 25, 158, 77, 163, 15, 70, 165, 163, 77, 70, 50, 165, 163, 2]",1
ce_21,#004,"[1, 163, 158, 15, 163, 163, 163, 163, 163, 77, 163, 77, 163, 77, 163, 77, 70, 114, 163, 165, 163, 77, 163, 77, 15, 25, 163, 163, 114, 163, 171, 165, 163, 77, 70, 117, 51, 70, 70, 1736, 2]",1
ce_22,#004,"[1, 163, 158, 163, 163, 158, 145, 51, 70, 163, 77, 15, 163, 36, 163, 77, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 165, 77, 158, 15, 51, 163, 163, 36, 163, 70, 106, 77, 51, 70, 163, 36, 163, 163, 51, 70, 17, 2]",1
ce_23,#004,"[1, 163, 163, 15, 163, 163, 108, 163, 163, 145, 70, 17, 158, 163, 114, 163, 171, 163, 15, 17, 163, 77, 163, 77, 163, 77, 70, 114, 158, 163, 70, 158, 15, 163, 163, 163, 163, 114, 163, 171, 158, 51, 70, 70, 163, 51, 70, 25, 163, 114, 163, 171, 113, 379, 2]",1
ce_24,#004,"[1, 158, 163, 163, 165, 163, 145, 51, 17, 165, 163, 163, 15, 163, 158, 163, 163, 15, 163, 158, 163, 145, 70, 15, 165, 163, 165, 163, 15, 70, 163, 165, 163, 15, 163, 165, 163, 15, 163, 158, 163, 70, 117, 165, 163, 51, 70, 51, 165, 163, 15, 163, 158, 163, 163, 51, 70, 106, 165, 2]",1
ce_25,#004,"[1, 165, 163, 77, 163, 15, 163, 126, 77, 163, 77, 70, 25, 165, 163, 77, 163, 77, 15, 163, 126, 163, 77, 70, 25, 126, 2]",1
ce_26,#004,"[1, 163, 165, 158, 77, 145, 51, 106, 163, 114, 163, 171, 158, 163, 163, 114, 163, 171, 158, 163, 15, 114, 163, 114, 163, 171, 165, 77, 15, 77, 163, 108, 163, 114, 163, 171, 163, 77, 163, 77, 165, 70, 15, 163, 108, 163, 51, 70, 15, 51, 70, 163, 163, 77, 108, 163, 15, 163, 158, 106, 70, 114, 1736, 2]",1
ce_27,#004,"[1, 163, 163, 163, 165, 163, 77, 15, 158, 158, 163, 163, 158, 15, 163, 163, 163, 163, 70, 25, 163, 15, 163, 36, 77, 163, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 165, 77, 158, 51, 70, 145, 163, 51, 70, 114, 40, 117, 2]",1
ce_28,#004,"[1, 163, 165, 163, 145, 70, 165, 158, 163, 114, 163, 171, 163, 108, 163, 114, 77, 77, 15, 114, 163, 15, 163, 158, 171, 163, 114, 163, 171, 165, 108, 70, 165, 163, 114, 163, 171, 158, 163, 15, 114, 163, 114, 163, 171, 165, 77, 15, 165, 163, 108, 163, 106, 158, 106, 158, 70, 15, 163, 163, 108, 163, 70, 50, 51, 51, 163, 2]",1
ce_29,#004,"[1, 163, 163, 77, 158, 15, 50, 163, 163, 163, 15, 51, 158, 100, 153, 163, 15, 70, 163, 165, 165, 70, 117, 163, 114, 163, 171, 155, 163, 70, 50, 171, 2]",1
ce_30,#004,"[1, 163, 163, 15, 163, 158, 165, 1840, 163, 163, 77, 15, 118, 163, 163, 15, 163, 163, 163, 163, 15, 163, 163, 15, 163, 163, 163, 158, 15, 163, 165, 163, 114, 163, 171, 163, 40, 108, 2]",1
ce_31,#004,"[1, 163, 163, 158, 163, 163, 158, 145, 70, 50, 163, 77, 163, 77, 15, 114, 163, 77, 70, 114, 36, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 165, 77, 158, 70, 106, 163, 163, 163, 70, 70, 163, 163, 51, 70, 145, 2]",1
ce_32,#004,"[1, 158, 163, 163, 77, 163, 77, 163, 77, 70, 114, 163, 163, 114, 163, 171, 158, 163, 163, 114, 163, 171, 158, 163, 15, 114, 163, 114, 163, 171, 165, 77, 15, 108, 163, 108, 163, 106, 158, 106, 158, 70, 15, 163, 163, 114, 163, 171, 165, 163, 108, 163, 51, 70, 25, 51, 70, 51, 2]",1
ce_33,#004,"[1, 163, 163, 163, 163, 163, 77, 163, 15, 163, 36, 77, 163, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 165, 77, 158, 70, 50, 163, 70, 118, 40, 117, 2]",1
ce_34,#004,"[1, 163, 163, 158, 163, 77, 15, 114, 163, 114, 163, 171, 165, 163, 114, 163, 171, 163, 77, 163, 15, 163, 36, 77, 15, 158, 158, 163, 163, 158, 15, 163, 163, 163, 163, 70, 25, 163, 77, 70, 77, 51, 70, 114, 1840, 108, 114, 163, 171, 114, 163, 171, 165, 2]",1
ce_35,#004,"[1, 163, 163, 158, 163, 77, 15, 114, 163, 114, 163, 171, 165, 163, 114, 163, 171, 163, 77, 163, 15, 163, 36, 77, 15, 17, 158, 163, 163, 158, 163, 163, 70, 114, 163, 77, 70, 106, 51, 70, 15, 2]",1
ce_36,#004,"[1, 126, 2472, 77, 15, 163, 165, 163, 77, 158, 15, 158, 163, 77, 163, 77, 15, 163, 36, 163, 77, 70, 25, 163, 77, 163, 15, 17, 158, 163, 163, 158, 163, 163, 70, 114, 77, 15, 163, 36, 163, 77, 70, 106, 163, 51, 70, 145, 171, 2]",1
ce_37,#004,"[1, 165, 77, 15, 17, 163, 158, 163, 106, 158, 106, 70, 15, 158, 163, 163, 114, 163, 171, 158, 163, 15, 114, 163, 114, 163, 171, 165, 77, 15, 117, 163, 108, 163, 106, 158, 77, 108, 70, 15, 163, 108, 163, 51, 70, 70, 70, 108, 2]",1
ce_38,#004,"[1, 165, 77, 165, 163, 163, 158, 70, 15, 158, 77, 163, 77, 163, 77, 15, 114, 89, 114, 163, 171, 113, 165, 70, 145, 2]",1
ce_39,#004,"[1, 163, 165, 163, 15, 165, 158, 163, 114, 163, 171, 163, 108, 163, 163, 105, 163, 114, 163, 171, 158, 163, 15, 114, 163, 114, 163, 171, 113, 77, 15, 165, 163, 108, 163, 106, 158, 106, 158, 70, 15, 163, 163, 108, 163, 70, 50, 51, 70, 158, 2640, 2]",1
